koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_duration,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
0,0,0,0,2.9575,615.8,793.0,35.8,1.0,q1_q17_dr25_tce,5455.0,4.467,0.927,0,1,0
0,0,0,0,4.507,874.8,443.0,25.8,2.0,q1_q17_dr25_tce,5455.0,4.467,0.927,0,1,0
0,1,0,0,1.7822,10829.0,638.0,76.3,1.0,q1_q17_dr25_tce,5853.0,4.544,0.868,0,0,1
0,1,0,0,2.40641,8079.2,1395.0,505.6,1.0,q1_q17_dr25_tce,5805.0,4.564,0.791,0,0,1
0,0,0,0,1.6545,603.3,1406.0,40.9,1.0,q1_q17_dr25_tce,6031.0,4.438,1.046,0,1,0
0,0,0,0,4.5945,1517.5,835.0,66.5,1.0,q1_q17_dr25_tce,6046.0,4.486,0.972,0,1,0
0,0,0,0,3.1402,686.0,1160.0,40.2,2.0,q1_q17_dr25_tce,6046.0,4.486,0.972,0,1,0
0,0,0,0,2.429,226.5,1360.0,15.0,3.0,q1_q17_dr25_tce,6046.0,4.486,0.972,0,1,0
0,1,1,0,5.022,233.7,1342.0,47.7,1.0,q1_q17_dr25_tce,6227.0,3.986,1.958,0,0,1
0,0,0,0,3.5347,4914.3,600.0,161.9,1.0,q1_q17_dr25_tce,5031.0,4.485,0.848,0,1,0
0,0,0,0,1.74319,14231.0,1339.0,4304.3,1.0,q1_q17_dr25_tce,5820.0,4.457,0.964,0,1,0
0,1,0,0,3.88864,6674.7,2048.0,5945.9,1.0,q1_q17_dr25_tce,6440.0,4.019,1.952,0,1,0
0,0,0,0,3.19843,9145.7,1521.0,1741.5,1.0,q1_q17_dr25_tce,6225.0,4.169,1.451,0,1,0
0,0,0,0,2.6302,131.1,1206.0,50.6,2.0,q1_q17_dr25_tce,5833.0,4.407,1.022,0,1,0
0,1,0,0,3.6399,17984.0,753.0,622.1,1.0,q1_q17_dr25_tce,5795.0,4.554,0.848,0,0,1
0,1,0,0,12.2155,8918.7,523.0,214.7,1.0,q1_q17_dr25_tce,5043.0,4.591,0.68,0,0,1
0,1,0,0,4.79843,74284.0,698.0,2317.0,1.0,q1_q17_dr25_tce,6117.0,4.496,0.947,0,0,1
0,1,0,0,9.4378,10479.0,595.0,303.4,1.0,q1_q17_dr25_tce,5152.0,4.517,0.786,0,0,1
0,0,0,0,3.2875,1288.3,649.0,87.2,1.0,q1_q17_dr25_tce,4856.0,4.583,0.696,0,1,0
0,0,0,0,1.5821,1912.7,678.0,65.4,1.0,q1_q17_dr25_tce,4537.0,4.648,0.672,0,1,0
0,1,1,1,3.6129,397.9,1066.0,48.2,1.0,q1_q17_dr25_tce,4989.0,4.504,0.819,0,0,1
0,0,0,0,3.0278,831.0,919.0,60.6,1.0,q1_q17_dr25_tce,5185.0,4.44,0.91,0,1,0
0,0,0,0,2.5984,363.3,1018.0,28.9,2.0,q1_q17_dr25_tce,5185.0,4.44,0.91,0,1,0
0,0,0,0,3.596,217.4,800.0,14.1,3.0,q1_q17_dr25_tce,5185.0,4.44,0.91,0,1,0
0,1,0,0,6.8057,24927.0,297.0,994.0,1.0,q1_q16_tce,5543.0,4.081,1.58,0,0,1
0,0,0,0,3.4555,857.2,530.0,34.3,1.0,q1_q17_dr25_tce,4954.0,4.5,0.828,0,1,0
0,0,0,0,2.1717,934.7,917.0,28.2,1.0,q1_q17_dr25_tce,5339.0,4.552,0.847,0,1,0
0,0,0,0,2.875,750.8,1012.0,61.8,1.0,q1_q17_dr25_tce,5644.0,4.564,0.831,0,1,0
0,0,1,0,1.5155,2211.7,1452.0,181.1,1.0,q1_q17_dr25_tce,5714.0,4.563,0.831,0,0,1
1,0,0,0,53.412,18091.0,196.0,642.7,1.0,q1_q17_dr25_tce,5520.0,4.466,0.983,0,0,1
0,1,0,0,7.633,5123.3,505.0,85.3,1.0,q1_q17_dr25_tce,6144.0,4.402,1.091,0,0,1
0,0,0,0,5.588,724.2,529.0,34.7,1.0,q1_q17_dr25_tce,5481.0,4.369,1.036,0,1,0
0,0,0,0,4.6297,2213.9,439.0,51.2,2.0,q1_q17_dr25_tce,5031.0,4.485,0.848,0,1,0
0,0,0,0,2.5819,1036.9,823.0,47.1,3.0,q1_q17_dr25_tce,5031.0,4.485,0.848,0,1,0
0,0,0,0,3.2554,1121.9,593.0,33.2,1.0,q1_q17_dr25_tce,5015.0,4.499,0.826,0,1,0
0,0,0,0,4.7971,1804.8,506.0,80.0,1.0,q1_q17_dr25_tce,5586.0,4.56,0.798,0,1,0
0,0,0,0,6.473,652.0,359.0,19.1,2.0,q1_q17_dr25_tce,5586.0,4.56,0.798,0,1,0
0,0,0,0,2.22739,9802.0,1103.0,696.5,1.0,q1_q17_dr25_tce,5712.0,4.359,1.082,1,0,0
0,1,1,0,3.3827,860.4,1222.0,48.3,1.0,q1_q17_dr25_tce,5550.0,4.468,0.91,0,0,1
0,0,0,0,3.7362,460.0,1133.0,29.5,1.0,q1_q17_dr25_tce,6075.0,4.486,0.969,0,1,0
0,1,0,0,5.2514,11766.0,730.0,513.4,1.0,q1_q17_dr25_tce,6074.0,4.391,1.063,0,0,1
0,0,0,0,2.9472,601.6,1093.0,166.7,1.0,q1_q17_dr25_tce,5779.0,4.339,1.087,0,1,0
0,0,0,0,10.5989,2793.1,516.0,141.1,1.0,q1_q17_dr25_tce,5468.0,4.367,1.046,0,1,0
0,0,0,0,2.2514,1041.6,790.0,43.4,1.0,q1_q17_dr25_tce,5592.0,4.582,0.787,0,1,0
0,0,0,0,3.1744,1487.3,1243.0,128.6,1.0,q1_q17_dr25_tce,6174.0,4.417,1.103,0,1,0
0,0,0,0,2.50587,16814.0,1219.0,1406.8,1.0,q1_q17_dr25_tce,5532.0,4.452,0.955,0,1,0
0,1,1,0,14.561,8503.7,430.0,236.1,1.0,q1_q17_dr25_tce,5040.0,4.628,0.705,0,0,1
0,0,0,0,2.6557,426.7,1147.0,35.6,1.0,q1_q17_dr25_tce,5880.0,4.518,0.917,0,1,0
0,0,0,0,3.15,1010.9,1104.0,71.1,1.0,q1_q17_dr25_tce,5714.0,4.428,1.015,0,1,0
0,0,0,0,2.6255,1023.5,806.0,37.9,2.0,q1_q17_dr25_tce,5714.0,4.428,1.015,0,1,0
